timestamp,temperature_in_celsius
2018-02-04 21:13:49,-9.0
2018-02-04 21:45:34,-9.0
2018-02-07 20:08:46,-4.8
2018-02-07 20:39:00,-4.2
2018-02-07 21:37:20,-4.1
2018-02-07 22:45:41,-4.2
2018-02-07 22:46:43,-4.1
2018-02-07 22:54:48,-4.1
2018-02-07 22:55:49,-4.1
2018-02-07 22:56:51,-4.1
2018-02-07 22:57:53,-4.1
2018-02-07 23:30:42,-4.2
2018-02-08 00:00:23,-4.5
2018-02-08 00:30:26,-4.7
2018-02-08 01:00:25,-5.3
2018-02-08 01:30:12,-5.9
2018-02-08 02:00:14,-6.2
2018-02-08 02:30:28,-6.4
2018-02-08 03:00:26,-6.3
2018-02-08 03:30:22,-5.6
2018-02-08 04:00:26,-4.7
2018-02-08 04:30:13,-3.9
2018-02-08 05:00:27,-2.9
2018-02-08 05:30:19,-1.0
2018-02-08 06:00:27,-0.9
2018-02-08 06:30:13,-0.7
2018-02-08 07:00:31,-0.5
2018-02-08 07:30:26,-0.6
2018-02-08 08:00:49,-0.6
2018-02-08 08:30:19,-0.5
2018-02-08 09:00:24,-0.3
2018-02-08 09:30:27,-0.2
2018-02-08 10:00:28,0.1
2018-02-08 10:30:15,0.5
2018-02-08 11:00:09,1.1
2018-02-08 11:30:24,0.4
2018-02-08 12:00:37,0.1
2018-02-08 12:30:38,-0.2
2018-02-08 13:00:13,-0.1
2018-02-08 13:30:20,-0.1
2018-02-08 14:01:40,-0.3
2018-02-08 14:30:20,-0.3
2018-02-08 15:00:21,-0.5
2018-02-08 15:31:04,-0.7
2018-02-08 16:00:29,-0.9
2018-02-08 16:30:12,-1.0
2018-02-08 17:00:07,-1.4
2018-02-08 17:30:12,-1.6
2018-02-08 18:00:12,-1.8
2018-02-08 18:30:25,-2.0
2018-02-08 19:00:12,-2.0
2018-02-08 19:30:38,-2.0
2018-02-08 20:00:25,-2.1
2018-02-08 20:30:33,-2.4
2018-02-08 21:00:13,-2.9
2018-02-08 21:31:58,-3.7
2018-02-08 22:00:33,-4.1
2018-02-08 22:30:18,-3.8
2018-02-08 23:00:21,-3.7
2018-02-08 23:30:16,-3.7
2018-02-09 00:00:26,-3.8
2018-02-09 00:30:11,-4.1
2018-02-09 01:00:31,-4.2
2018-02-09 01:30:21,-4.2
2018-02-09 02:00:24,-4.4
2018-02-09 02:30:16,-4.6
2018-02-09 03:00:11,-4.8
2018-02-09 03:30:29,-4.9
2018-02-09 04:00:18,-5.1
2018-02-09 04:30:20,-5.1
2018-02-09 05:00:26,-5.1
2018-02-09 05:30:28,-5.2
2018-02-09 06:00:18,-5.4
2018-02-09 06:30:23,-5.4
2018-02-09 07:00:10,-5.5
2018-02-09 07:30:23,-5.4
2018-02-09 08:00:18,-5.4
2018-02-09 08:30:26,-5.2
2018-02-09 09:00:18,-5.0
2018-02-09 09:30:11,-4.9
2018-02-09 10:00:21,-4.6
2018-02-09 10:30:16,-4.1
2018-02-09 11:00:16,-3.8
2018-02-09 11:30:26,-3.6
2018-02-09 12:00:19,-3.2
2018-02-09 12:30:19,-3.2
2018-02-09 13:00:11,-2.9
2018-02-09 13:30:14,-2.9
2018-02-09 14:00:14,-3.1
2018-02-09 14:30:19,-3.2
2018-02-09 15:00:20,-3.4
2018-02-09 15:30:18,-3.6
2018-02-09 16:00:18,-3.7
2018-02-09 16:30:13,-4.1
2018-02-09 17:00:23,-4.3
2018-02-09 17:30:23,-4.3
2018-02-09 18:00:13,-4.3
2018-02-09 18:30:31,-4.2
